,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
47,Lamb cutlets with cannellini beans and balsamic-roasted carrots,"2 x racks good-quality British lamb (6-7 bones), trimmed, Glug of light olive oil, Fresh rosemary sprig, Fresh thyme sprig, 1 garlic clove, peeled, ½ bunch fresh thyme, leaves picked, ½ bunch fresh rosemary, leaves picked, ½ bunch fresh marjoram, leaves picked (see tip), ½ bunch mint, roughly chopped, 1 red chilli, deseeded and chopped, Finely grated zest 1 lemon, 50ml good quality red wine vinegar, 100ml extra-virgin olive oil, 600g baby carrots, scrubbed and tops trimmed (halved if fat), Glug extra-virgin olive oil, ½ tsp fennel seeds, toasted in a dry pan, then gently crushed, 2 tbsp runny honey, 35ml good quality balsamic vinegar (see tips), ½ bunch fresh flatleaf parsley, chopped, 1 garlic clove, finely sliced, Glug extra-virgin olive oil, 400g tin cannellini beans, drained and rinsed, 2-3 fresh thyme sprigs, leaves picked, plus extra to garnish, Digital probe thermometer",558.0,34.5,8.5,35.6,22.2,12.2,8.0,0.4,Italy
48,"Baked pasta with peas, broad beans, fresh herbs and grana padano","30g unsalted butter, 30g plain flour, 600ml milk, plus extra (optional), 1 bay leaf, 1 clove, Whole nutmeg for grating, 1 shallot, peeled and finely chopped, Knob of butter, plus extra, melted, to drizzle, 100g peas (fresh or frozen), blanched, 100g broad beans (fresh or frozen), blanched – see tips, 350g bucatini pasta (see tips), Small handful fresh parsley, chopped, Small handful fresh chives, chopped, Small handful fresh marjoram, leaves picked and chopped (see tips), A few fresh mint leaves, chopped, 80g baby leaf spinach, 150g grana padano riserva, grated, 100g fior di latte mozzarella (or other mozzarella), chopped, Whole nutmeg for grating, Handful breadcrumbs, toasted in a dry pan, to garnish, Good-quality fresh pesto to serve, 6 x small gratin dishes or ramekins (about 250ml each)",538.0,21.6,13.1,26.2,56.9,6.8,5.8,0.8,Italy
49,Cheesy asparagus eggs on toast,"2 tsp polenta, Pinch white pepper, 250g ricotta,  20 asparagus spears (see tips),  Splash extra-virgin olive oil,  8 large free-range eggs, preferably duck eggs (see tips),  120g sun-blush tomatoes,  150g good-quality black olives, pitted,  Bunch fresh chives, chopped,  50g grana padano or 30g pecorino cheese, grated,  6 slices sourdough bread, toasted and cut in half,  Handful pea shoots,  Handful toasted hazelnuts, roughly chopped",582.0,33.4,9.1,30.2,37.1,5.0,6.1,5.0,Italy
50,"Gnudi with fried sage, hazelnuts and jerusalem artichoke crisps","250g ricotta,  50g blanched hazelnuts,  350g jerusalem artichokes,  1 garlic clove, unpeeled,  Olive oil for drizzling and frying,  50g vegetarian parmesan-style cheese, grated, plus extra to serve,  Freshly grated nutmeg,  250g fine semolina for dusting,  Handful fresh sage leaves,  75g butter, Clean J-cloth or piece of muslin",490.0,39.8,18.0,14.6,15.9,3.3,5.2,0.7,Italy
51,Pizzas with romesco sauce and greens,"500g ‘00’ or strong white bread flour, plus extra for dusting, 1 tsp salt, 3 tbsp olive oil, plus extra to grease, 2g fresh yeast or ¼ tsp dried yeast, 150-200g tenderstem broccoli, 1 large sprout top, roughly chopped (or use ½ leafy cabbage), Bunch spring onions, trimmed, 2 x 100g balls burrata, 25g pine nuts, toasted in a dry pan, 50g blanched almonds, 30g bread, torn (we used sourdough), 1 tsp sweet smoked paprika, 175g roasted red peppers from a jar, drained, 1 garlic clove, crushed, 4 tbsp olive oil, plus extra to drizzle, Splash sherry vinegar, Large heavy-based non-stick ovenproof frying pan, Stand mixer with dough hook(see tips); mini food processor",,,,,,,,,Italy
52,Red wine spaghetti with tomato and goat’s cheese,"750ml bottle full-bodied red wine (see tips), 180g spaghetti, 400g tin chopped tomatoes, 30g soft goat’s cheese, A few shavings hard goat’s cheese or parmesan-style cheese to serve (see tips), Fresh basil leaves to serve, Olive oil for drizzling",657.0,11.0,3.7,16.9,72.7,9.7,6.0,0.3,Italy
53,Oven-roasted spiced squash and cauliflower risotto,"750g frozen prepared butternut squash (or 1 large squash, peeled, de-seeded and cut into chunks), 1 large cauliflower, cut into florets (leaves reserved), 1½ tbsp light olive oil, 8 fresh thyme sprigs, 1 tsp chilli flakes, 2 tsp fennel seeds, 1 large onion, finely chopped, 5 garlic cloves, crushed, 200g risotto rice, 700ml good quality vegetable stock, hot, 75g parmesan (or vegetarian alternative), finely grated, Large ovenproof frying pan or flameproof casserole",479.0,12.0,4.7,23.0,65.2,14.5,9.0,0.76,Italy
54,"Olive, artichoke and mozzarella calzone","1 tsp fennel seeds, bruised, 125ml garlic and herb pizza sauce from a jar, ½ tsp dried oregano, 6 roasted artichoke halves, chopped, oil reserved (see tips), 6 sun-blush tomatoes, chopped, 12 black olives, pitted and chopped, Pack 2 x 220g balls pizza dough (we like Northern Pizza Dough Co, from Sainsbury’s), defrosted, Plain flour for dusting, 100g fresh mozzarella, torn, Mixed bitter salad leaves",497.0,21.6,8.0,17.7,55.8,4.0,4.4,4.0,Italy
55,Mussels with salsa verde and olive oil chips,"1kg maris piper potatoes, 3 tbsp olive oil, 1 onion, chopped, 2 garlic cloves, crushed, 100ml dry white wine, 1.5kg mussels, cleaned and de-bearded (see Know-how), Large handful fresh soft herbs, such as parsley, mint and basil, chopped, 1 tbsp dijon mustard, 2 tbsp capers, drained, 2 tbsp red wine vinegar, 3 tbsp extra-virgin olive oil, Large stock pot or flameproof casserole with a tight-fitting lid",510.0,19.5,2.9,24.9,50.8,5.1,6.8,1.7,Italy
56,Sausage and sprout carbonara,"175g spaghetti, Light olive oil for frying and drizzling, 1-2 leftover free-range British pork sausages, sliced into 1.5cm pieces, 10-12 leftover cooked brussels sprouts, quartered or sliced, 2 medium free-range eggs, 35g parmesan, finely grated, Finely grated zest and juice ½ lemon, 1 tbsp finely chopped fresh flatleaf parsley",686.0,31.0,9.2,31.8,66.2,4.2,7.5,0.9,Italy
