,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
10,"Grilled mackerel, grapefruit and pesto freekeh salad","Olive oil for frying and drizzling, 1 red onion, finely chopped, 1 tbsp balsamic vinegar, 200g freekeh, 500ml chicken stock, Squeeze lemon juice, 8 skin-on mackerel fillets, pin boned (small bones removed with kitchen tweezers/pliers), 3 large pink grapefruit, segmented and juice reserved (for the pesto), 100g young leaf spinach, 25g fresh flatleaf parsley, chopped, 100g pine nuts, lightly toasted for 5 minutes in a dry frying pan, 50g basil, 50g fresh flatleaf parsley, 120ml extra-virgin olive oil, 50g parmesan, coarsely grated, Reserved juice from the segmented grapefruit (above)",885,53.2,9.7,44.6,50,16,13.7,1,Morocco
11,"Rosemary-roasted butternut, courgette, amaranth and barley couscous salad","850g butternut squash or pumpkin, peeled and cut into 3cm chunks, 2 tsp finely chopped fresh rosemary leaves, ½ tsp caster sugar, 2 tbsp extra-virgin olive oil, 125g barley, wholewheat or plain couscous, 700ml chicken or vegetable stock, hot, 50g amaranth, 300g courgettes (about 2 medium), sliced diagonally, 50g rocket, torn, 2 tbsp toasted pine nuts or pumpkin seeds, 2 heaped tbsp chopped, fresh mint leaves, 100g feta or goat’s cheese, crumbled, 1½ tbsp extra-virgin olive oil, 1 tbsp balsamic vinegar, Squeeze of lemon juice, plus a little extra if needed, 1 tsp honey, ½ tbsp dark soy sauce",311,14.1,3.5,8.1,30.6,9.4,3.9,1.2,Morocco
12,"Lentil, spinach and cumin soup","3-4 tbsp extra-virgin olive oil, 2 onions, sliced, 4 garlic cloves, sliced, 1 tsp ground coriander, 1 tsp cumin seeds, 150g brown or green lentils, 1.2 litres vegetable stock (we like Knorr), 200g spinach, Freshly squeezed juice of 1 lemon, 4 tbsp natural yogurt, 25g pine nuts, toasted",331,14.4,1.9,13,23,3.9,6.6,1.1,Morocco
13,Warm quinoa salad with broad beans and pomegranate,"125g quinoa, 200g frozen broad beans, 1 pomegranate, 4 spring onions, chopped, 1 tbsp brown rice vinegar (from Waitrose, Ocado and specialist Asian and health food stores), 1 tbsp mirin, 2 tsp chopped fresh mint",154,2.2,0.2,32,24.3,7.2,6,0.1,Morocco
14,"Spicy chicken, chickpea and fennel salad","250g leftover roast chicken, 1 fennel bulb, Juice of ½ lemon, 4 tbsp olive oil, 1 red onion, cut into wedges, 1 garlic clove, finely sliced, 2 x 400g tins chickpeas, drained and rinsed, 2 tbsp rose harissa",360,17.5,2.6,28.7,21.9,3,8.7,0.9,Morocco
15,Ultimate chicken tagine,"8-10 free-range chicken thighs, boned, skinned and sliced into bite-size pieces, 2 tsp paprika, ½ tsp ground cinnamon, 1 tsp ground turmeric, 1 tsp ground cumin, 1 tsp ground ginger, 100g dried apricots, sliced, 50g raisins, 500ml chicken stock, hot, 1 tbsp rapeseed oil, plus extra if needed, 2 large onions, finely sliced, 6 garlic cloves, finely chopped, Pinch of saffron, soaked in a splash of hot water, 2 x 400g tins chopped tomatoes, 1 tbsp tomato purée, 1 tbsp honey, 50g flaked almonds, toasted, to serve, Handful of fresh coriander, chopped, 250g couscous, A few fresh mint sprigs, chopped, Grated zest and juice of 1 lemon",646,16.8,2.3,51.3,67.1,32.3,6.6,trace,Morocco
16,"Lentils and pasta with tamarind, sumac and pomegranate","40g tamarind, soaked in 200ml boiling water, 250g fettuccini, broken up roughly, 60ml olive oil, 2 red onions, thinly sliced (around 350g), 1 ½ litres chicken stock, 350g brown lentils, 2 tbsp pomegranate molasses, Sea salt flakes, Black pepper, 6 garlic cloves, crushed, 30g coriander, roughly chopped, 20g parsley, roughly chopped, 90g pomegranate seeds, 2 tsp sumac, 2 lemons, cut into wedges",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Morocco
17,Moroccan lamb tagine,"Olive oil, 2 red onions, sliced, 3 garlic cloves, crushed, 1 tbsp ground ginger, 1 tbsp ground cinnamon, 1 tbsp ground cumin, 1 tbsp sweet paprika, 1 tbsp ground turmeric, 1.4kg British lamb shoulder, diced into 2cm cubes, 2 x 400g tins chopped tomatoes, 250g stoned prunes, roughly chopped, 500ml chicken stock, 1 tbsp sugar, 400g tin chickpeas, drained and rinsed, Juice ½ lemon, Large bunch fresh parsley, Large bunch fresh coriander, 80g shelled pistachios, toasted in a dry pan, 100g pomegranate seeds, Couscous or flatbreads",461,20.1,6.9,43.3,22.3,17.4,9,0.5,Morocco
18,Pomegranate and chicken stew,"40g butter, 400g shallots, quartered, 5 carrots, sliced into 2cm pieces, 1kg free-range skinless and boneless chicken thighs, 3 garlic cloves, roughly chopped, 2 bay leaves, 1 cinnamon stick, 300ml pomegranate juice, 2 tbsp pomegranate molasses, 500ml chicken stock, Large bunch fresh coriander, Large bunch fresh flatleaf parsley, 100g pomegranate seeds, Steamed rice to serve",531,16.3,7.5,55.2,35.6,32,10.5,1.2 salt,Morocco
19,Pomegranate and orange blossom bakewell tart,"125g caster sugar, 125g cold unsalted butter, cubed, 3 large free-range egg yolks, 250g plain flour, plus extrato dust, 1 medium free-range egg, plus 1 extra yolk, 75g light soft brown sugar, 1 tsp vanilla extract, 2 tsp orange blossom water, 75g unsalted butter, melted, 75g ground almonds, 200g strawberry jam, 125g pomegranate seeds, Handful flaked almonds, Icing sugar to dust, Fluted tart tin (12cm x 36cm rectangular or 18cm round)",596,30.8,14.6,9,69.7,45.5,2,0.1,Morocco
