,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
10,"Grilled mackerel, grapefruit and pesto freekeh salad","Olive oil for frying and drizzling, 1 red onion, finely chopped, 1 tbsp balsamic vinegar, 200g freekeh, 500ml chicken stock, Squeeze lemon juice, 8 skin-on mackerel fillets, pin boned (small bones removed with kitchen tweezers/pliers), 3 large pink grapefruit, segmented and juice reserved (for the pesto), 100g young leaf spinach, 25g fresh flatleaf parsley, chopped, 100g pine nuts, lightly toasted for 5 minutes in a dry frying pan, 50g basil, 50g fresh flatleaf parsley, 120ml extra-virgin olive oil, 50g parmesan, coarsely grated, Reserved juice from the segmented grapefruit (above)",885.0,53.2,9.7,44.6,50.0,16.0,13.7,1,Morocco
11,"Rosemary-roasted butternut, courgette, amaranth and barley couscous salad","850g butternut squash or pumpkin, peeled and cut into 3cm chunks, 2 tsp finely chopped fresh rosemary leaves, ½ tsp caster sugar, 2 tbsp extra-virgin olive oil, 125g barley, wholewheat or plain couscous, 700ml chicken or vegetable stock, hot, 50g amaranth, 300g courgettes (about 2 medium), sliced diagonally, 50g rocket, torn, 2 tbsp toasted pine nuts or pumpkin seeds, 2 heaped tbsp chopped, fresh mint leaves, 100g feta or goat’s cheese, crumbled, 1½ tbsp extra-virgin olive oil, 1 tbsp balsamic vinegar, Squeeze of lemon juice, plus a little extra if needed, 1 tsp honey, ½ tbsp dark soy sauce",311.0,14.1,3.5,8.1,30.6,9.4,3.9,1.2,Morocco
12,"Lentil, spinach and cumin soup","3-4 tbsp extra-virgin olive oil, 2 onions, sliced, 4 garlic cloves, sliced, 1 tsp ground coriander, 1 tsp cumin seeds, 150g brown or green lentils, 1.2 litres vegetable stock (we like Knorr), 200g spinach, Freshly squeezed juice of 1 lemon, 4 tbsp natural yogurt, 25g pine nuts, toasted",331.0,14.4,1.9,13.0,23.0,3.9,6.6,1.1,Morocco
13,Warm quinoa salad with broad beans and pomegranate,"125g quinoa, 200g frozen broad beans, 1 pomegranate, 4 spring onions, chopped, 1 tbsp brown rice vinegar (from Waitrose, Ocado and specialist Asian and health food stores), 1 tbsp mirin, 2 tsp chopped fresh mint",154.0,2.2,0.2,32.0,24.3,7.2,6.0,0.1,Morocco
14,"Spicy chicken, chickpea and fennel salad","250g leftover roast chicken, 1 fennel bulb, Juice of ½ lemon, 4 tbsp olive oil, 1 red onion, cut into wedges, 1 garlic clove, finely sliced, 2 x 400g tins chickpeas, drained and rinsed, 2 tbsp rose harissa",360.0,17.5,2.6,28.7,21.9,3.0,8.7,0.9,Morocco
15,Ultimate chicken tagine,"8-10 free-range chicken thighs, boned, skinned and sliced into bite-size pieces, 2 tsp paprika, ½ tsp ground cinnamon, 1 tsp ground turmeric, 1 tsp ground cumin, 1 tsp ground ginger, 100g dried apricots, sliced, 50g raisins, 500ml chicken stock, hot, 1 tbsp rapeseed oil, plus extra if needed, 2 large onions, finely sliced, 6 garlic cloves, finely chopped, Pinch of saffron, soaked in a splash of hot water, 2 x 400g tins chopped tomatoes, 1 tbsp tomato purée, 1 tbsp honey, 50g flaked almonds, toasted, to serve, Handful of fresh coriander, chopped, 250g couscous, A few fresh mint sprigs, chopped, Grated zest and juice of 1 lemon",646.0,16.8,2.3,51.3,67.1,32.3,6.6,trace,Morocco
16,"Lentils and pasta with tamarind, sumac and pomegranate","40g tamarind, soaked in 200ml boiling water, 250g fettuccini, broken up roughly, 60ml olive oil, 2 red onions, thinly sliced (around 350g), 1 ½ litres chicken stock, 350g brown lentils, 2 tbsp pomegranate molasses, Sea salt flakes, Black pepper, 6 garlic cloves, crushed, 30g coriander, roughly chopped, 20g parsley, roughly chopped, 90g pomegranate seeds, 2 tsp sumac, 2 lemons, cut into wedges",,,,,,,,,Morocco
17,Moroccan lamb tagine,"Olive oil, 2 red onions, sliced, 3 garlic cloves, crushed, 1 tbsp ground ginger, 1 tbsp ground cinnamon, 1 tbsp ground cumin, 1 tbsp sweet paprika, 1 tbsp ground turmeric, 1.4kg British lamb shoulder, diced into 2cm cubes, 2 x 400g tins chopped tomatoes, 250g stoned prunes, roughly chopped, 500ml chicken stock, 1 tbsp sugar, 400g tin chickpeas, drained and rinsed, Juice ½ lemon, Large bunch fresh parsley, Large bunch fresh coriander, 80g shelled pistachios, toasted in a dry pan, 100g pomegranate seeds, Couscous or flatbreads",461.0,20.1,6.9,43.3,22.3,17.4,9.0,0.5,Morocco
18,Pomegranate and chicken stew,"40g butter, 400g shallots, quartered, 5 carrots, sliced into 2cm pieces, 1kg free-range skinless and boneless chicken thighs, 3 garlic cloves, roughly chopped, 2 bay leaves, 1 cinnamon stick, 300ml pomegranate juice, 2 tbsp pomegranate molasses, 500ml chicken stock, Large bunch fresh coriander, Large bunch fresh flatleaf parsley, 100g pomegranate seeds, Steamed rice to serve",531.0,16.3,7.5,55.2,35.6,32.0,10.5,1.2 salt,Morocco
19,Pomegranate and orange blossom bakewell tart,"125g caster sugar, 125g cold unsalted butter, cubed, 3 large free-range egg yolks, 250g plain flour, plus extrato dust, 1 medium free-range egg, plus 1 extra yolk, 75g light soft brown sugar, 1 tsp vanilla extract, 2 tsp orange blossom water, 75g unsalted butter, melted, 75g ground almonds, 200g strawberry jam, 125g pomegranate seeds, Handful flaked almonds, Icing sugar to dust, Fluted tart tin (12cm x 36cm rectangular or 18cm round)",596.0,30.8,14.6,9.0,69.7,45.5,2.0,0.1,Morocco
20,Quick harissa lamb and red onions with herby quinoa,"2 tbsp olive oil, 2 red onions, cut into wedges, 500g lamb leg or neck fillet, cut into strips, 2 tbsp rose harissa (we like Belazu), Zest and juice of 1 lemon, 200ml chicken stock, 2 x 250g packs ready-to-eat quinoa, 2 tbsp extra-virgin olive oil, 3-4 roasted red peppers, sliced, 50g toasted pine nuts, Bunch of fresh coriander, roughly chopped",702.0,38.1,7.6,29.0,47.7,10.4,3.8,0.5,Morocco
21,Chana masala,"200g dried chickpeas (or 2 x 400g tins chickpeas, drained and rinsed) – dried chickpeas have a better taste and texture than tinned, 2 garlic cloves, crushed, Thumb-size piece fresh ginger, grated, 1 medium green chilli, finely chopped, 3-4 tbsp olive oil, 1 large onion, finely chopped, 1 tsp cumin seeds, 400g tin chopped tomatoes, 1 level tsp ground turmeric, ¼ tsp chilli powder, 1 tsp garam masala, ½ tsp ground coriander, ½ tsp ground cumin, Handful fresh coriander, chopped, Natural yogurt and lemon wedges to serve",591.0,23.8,3.0,28.1,63.7,15.3,4.6,0.2,Morocco
22,Zigni berbere (spicy chicken stew),"50ml vegetable oil, 2 large onions, chopped, 4 garlic cloves, crushed, 1kg British free-range skinless and boneless chicken thighs, cut into cubes, 2 x 400g tins plum tomatoes, 2 beef stock cubes, 1 tbsp tomato paste, 125ml dry red wine (optional), Bunch fresh coriander, roughly chopped, plus extra to serve, Lemon wedges to serve, Eritrean injera flatbreads (or regular flatbreads) or rice and a green salad to serve, 1 tsp each ground ginger, fenugreek and black pepper, ½ tsp ground coriander, ½ tsp ground cardamom, ¼ tsp ground cloves, ¼ tsp ground allspice, Pinch ground cinnamon, ½ tbsp fine sea salt, 1 tbsp mild paprika",332.0,12.3,2.4,38.3,11.2,9.5,4.1,3.1,Morocco
23,Basbousa (sweet semolina cake),"450g caster sugar, 2 tbsp lemon or orange juice , 110g butter, melted, plus extra for greasing, 280ml full-fat greek yogurt, 200g caster sugar, 240g semolina, 1 tbsp baking powder  , 28cm x 18cm cake tin at least 6cm deep, greased with butter and lined with non-stick baking paper",332.0,8.3,5.3,3.9,60.3,47.3,0.5,0.4,Morocco
24,Clementine and pomegranate cake,"4 clementines or satsumas, unpeeled, 1 cinnamon stick, oil, for greasing, 6 large eggs, 225g light muscovado sugar, 1 tsp gluten-free baking powder, 300g ground almonds, 1 pomegranate, halved, 25g light muscovado sugar, 1 tsp orange blossom extract, 1 tsp vanilla bean paste, 3 tbsp apricot jam to make a glaze, icing sugar, for dusting",,,,,,,,,Morocco
25,Chicken basteeya,"125g unsalted butter, 8 British free-range chicken thighs, 2 onions, finely sliced, 5 garlic cloves, crushed, Large thumb-size piece fresh ginger, finely grated, ½ tsp ground turmeric, 2 tsp ground coriander, 1 tsp ground cumin, ½ tsp paprika (not smoked), 1 tsp ground cinnamon, plus extra, 100g blanched almonds, chopped, 2 tbsp icing sugar, plus extra, 50g sultanas, Zest 1 lemon and juice ½, 3 medium free-range eggs, beaten, Small bunch fresh flatleaf parsley, leaves roughly chopped, Small bunch fresh coriander, roughly chopped, 5-6 filo pastry sheets, 23cm loose-bottomed cake tin",410.0,25.9,10.3,24.1,19.1,11.1,2.3,0.4,Morocco
26,"Almond, pistachio and turkish delight m’hencha","7 sheets filo pastry, 75g unsalted butter, melted, for brushing, 250g unsalted butter, 200g icing sugar, plus extra to dust, 3 medium free-range eggs, ½ tsp sea salt flakes, 2-3 tsp orange blossom water, 2 tsp ground cinnamon, Finely grated zest 1 orange and 1 lemon, 300g ground almonds, 100g pistachios, roughly ground or finely chopped, plus extra to serve, 50g flaked almonds, 80g rose or lemon flavoured turkish delight, snipped into small pieces, 23cm round cake tin with removable base (see tips) and a large work surface",602.0,44.2,16.4,13.3,36.8,22.7,1.2,0.5,Morocco
27,Moroccan-spiced lamb steaks,"2 tbsp olive oil, 2 red onions, thinly sliced, 500g courgettes, sliced, 2 garlic cloves, crushed, 1-3 tbsp harissa paste to taste (we like Belazu), 2 x 400g tins chopped tomatoes, 2 x 400g tins chickpeas, drained and rinsed, 100g dried apricots, roughly chopped, 4 British free-range lamb steaks, about 100g each, Chopped fresh coriander to garnish",507.0,18.3,4.8,35.6,43.2,23.3,13.8,0.3,Morocco
28,Venison and parsnip tagine with buttered herb couscous,"Olive oil for frying, 1kg diced venison, 1 large onion, sliced, 2 garlic cloves, sliced, 1 large bunch fresh coriander, chopped, 1tsp ras el hanout (a Middle Eastern spice mix, widely available), ½ tsp ground cumin, ½ tsp ground ginger, ¼ tsp ground turmeric, 6 parsnips, chopped into chunks, 8 dried figs, peeled, quartered, 400g tin chopped tomatoes, 500ml fresh beef stock, plus extra to loosen, Pomegranate molasses to serve, 200g couscous, 260ml freshly boiled water, 60g unsalted butter, 1 tsp sea salt, Small bunch fresh mint, leaves picked, Small bunch each fresh coriander and leaves picked, stems very finely chopped",600.0,17.7,7.6,47.9,56.3,21.2,11.8,1.9,Morocco
29,Lamb and quince tagine with chermoula and buttered couscous,"3 tbsp olive oil, 1kg lean lamb shoulder or leg, cut into chunks, 2 onions, thinly sliced, 5cm fresh ginger, finely grated, 200g skinned chopped tomatoes, fresh or from a can, Small cinnamon stick, 1 tsp ground ginger, 4 tbsp clear honey, 1 small preserved lemon, flesh discarded (from the international section in large supermarkets) or 2 strips lemon zest, finely chopped, 750ml lamb or chicken stock, ¾ tsp salt, ½ tsp black pepper, 400g can chickpeas, drained, Pared zest and juice 1 lemon, ½ tsp black pepper, 1kg quinces (about 4 medium), 40g butter, plus an extra knob, 2 tbsp caster sugar, ¼ tsp ground cinnamon, 50g blanched almonds, toasted in a dry frying pan, then split in half, 3 garlic cloves, roughly chopped, 2 tsp ground cumin, 2 tsp ground coriander, 1½ tsp paprika, 1 tbsp harissa paste, Good pinch saffron strands, 2 tbsp lemon juice, 20g fresh coriander leaves, 20g fresh mint leaves, 4 tbsp olive oil, ½ tsp salt, 350g couscous, ½ tsp salt, 450ml boiling water, 25g butter, Finely grated zest 1 small lemon",707.0,30.3,10.4,38.1,67.6,23.2,5.6,1.6,Morocco
30,Roasted aubergines with buttermilk dressing and jewelled Persian rice,"4 large aubergines, halved lengthways, Scant 1 tbsp ras el hanout (a North African spice mix, from large supermarkets), 5 tbsp extra-virgin olive oil, 284ml tub buttermilk, 1 garlic clove, crushed, Juice ½ lemon, Small bunch fresh chives, finely chopped, 350g long grain rice, 100g unsalted butter, melted, 200g cherries, stoned and quartered, 100g walnuts, toasted in a frying pan with a little oil, Large bunch each fresh coriander and parsley, roughly chopped, 1 small red chilli, finely chopped, Juice ½ -1 lemon",613.0,37.6,12.1,11.0,58.9,10.6,7.3,0.4,Morocco
31,"Wild rice salad with peas, pea shoots and green harissa","300g wild rice (see tip), 150g frozen garden peas, 6 spring onions, 1 medium cucumber, Bunch fresh flat leaf parsley, leaves picked, Bunch fresh coriander, leaves picked, 2 green chillies, deseeded and finely chopped, 100ml green harissa paste (see know-how), Grated zest and juice 1 lemon, 50g pea shoots to garnish",169.0,1.1,0.1,6.4,31.2,2.7,4.2,0.2,Morocco
32,Chicken briouats,"125g British free-range chicken thigh fillets, 125g British free-range skinless chicken breasts, 2 tbsp good quality extra-virgin olive oil, 1½ tsp salt, 1½ tsp ground black pepper, 1 large onion, chopped, 1 large garlic clove, finely chopped, 40g caster sugar, Pinch saffron threads, 100g dried apricots, finely chopped, 80g cold unsalted butter, cut into small cubes, 1½ tsp clear honey, 2 medium free-range eggs, plus 3 egg yolks mixed with a little water, Small bunch fresh coriander, chopped, Small bunch fresh flatleaf parsley chopped, 15 filo pastry sheets",228.0,9.3,3.9,8.8,27.0,6.4,0.9,0.7,Morocco
33,Spiced chicken with quinoa and lemon zest,"4 British free-range chicken thighs and 4 wings, Extra-virgin olive oil, 1 tbsp ras el hanout (Moroccan spice mix, available from Sainsbury’s, Tesco, Waitrose and Ocado), 1 tsp chilli flakes, 1 small red onion, halved and thinly sliced, 1 tsp ground cinnamon, 1 tsp ground cumin, 3 garlic cloves, crushed, 250g quinoa, 12 dried apricots, sliced, Finely grated zest ½ unwaxed lemon, Handful each fresh flatleaf parsley, mint and coriander leaves, chopped, plus extra to garnish, 1 tbsp pomegranate molasses (from Sainsbury’s, Waitrose, Ocado or Middle Eastern food shops), or lemon juice, Dried rose petals to garnish (optional; from baking shops or ottolenghi.co.uk)",329.0,12.9,2.4,25.0,29.2,8.2,1.9,0.3,Morocco
34,Lemon and garlic chicken with couscous,"8 free-range bone-in chicken thighs, 2 lemons, 4 tbsp olive oil, 3 garlic cloves, 1 red onion, 320ml chicken stock, 240g couscous, Large handful fresh parsley, Large handful fresh mint, plus extra",453.0,18.6,3.5,36.2,32.3,1.8,0.9,0.6,Morocco
35,Couscous with preserved lemons,"400ml chicken or vegetable stock, 400g can chickpeas, drained and rinsed, 300g couscous, Zest and juice of a lemon, Glug of extra-virgin olive oil, 2 preserved lemons, quartered, 75g toasted pine nuts, Handful of chopped fresh parsley",299.0,14.0,1.2,7.8,31.0,1.1,2.9,0.4,Morocco
36,Easy lamb tagine,"400g lamb leg steaks, 2 tbsp olive oil, 1 onion, 2 garlic cloves, 2 tsp ground coriander, 2 tsp cumin, 1 tsp ground ginger, Pinch of cinnamon, 400g can chopped tomatoes, 200ml chicken stock (we like Knorr), 100g pitted prunes, 1 tbsp ground almonds, A handful chopped fresh coriander",,,,,,,,,Morocco
37,Spiced chicken pilaf with mint yogurt,"1 tbsp olive oil, plus extra to drizzle, 1 onion, 2 garlic cloves, 150g leftover roast chicken, 2 tbsp baharat or similar Moroccan spice mix (see tip), 120g basmati rice, 350ml chicken stock, 3 spring onions, Small handful fresh mint, 200g Greek yogurt",281.0,9.5,3.4,18.1,29.2,4.3,2.1,0.4,Morocco
38,Falafels with tahini dressing,"2 x 400g tins chickpeas, drained and rinsed, 4 garlic cloves, crushed, ½ small bunch fresh flatleaf parsley, 2 tsp ground cumin, 1 tsp ground coriander, 1 red onion, very finely chopped, 2 free-range eggs, lightly beaten, 2 tbsp wholemeal flour, 2 tbsp olive oil, plus extra for frying, 3 tbsp tahini, Juice 1 lemon, Herby quinoa to serve",303.0,19.4,3.5,16.2,17.7,1.6,6.7,0.7,Morocco
39,"Giant couscous with spiced lamb, feta and almonds","250g giant couscous, 4 British lamb leg steaks (about 150g each), 2 tbsp olive oil, 2 tsp baharat spice blend (we like Bart, from Tesco and Waitrose), Juice 1 lemon, Extra-virgin olive oil, 75g blanched almonds, 100g feta, 100g watercress, 50g pomegranate seeds",614.0,34.1,10.0,42.8,34.2,2.8,1.5,1.2,Morocco
